date_name,local_team_id,local_team,local_result,visitor_result,visitor_team,visitor_team_id
Metropolitano 1984,56,Independiente,2,0,Racing (C),72
Metropolitano 1984,40,Ferro,2,1,Union,93
Metropolitano 1984,72,Racing (C),3,0,Independiente,56
Metropolitano 1984,72,Racing (C),2,1,Ferro,40
Metropolitano 1984,17,Boca Juniors,0,1,Independiente,56
Metropolitano 1984,40,Ferro,2,0,Racing (C),72
Metropolitano 1984,94,Velez,0,2,River Plate,75
Metropolitano 1984,7,Argentinos,4,1,Talleres (C),88
Metropolitano 1984,90,Temperley,1,1,Talleres (C),88
Metropolitano 1984,56,Independiente,1,2,Boca Juniors,17
Metropolitano 1984,88,Talleres (C),2,2,Temperley,90
Metropolitano 1984,90,Temperley,0,0,Union,93
Torneo Nacional 1984,57,Instituto,0,0,Platense,70
Metropolitano 1984,48,Huracan,2,3,Argentinos,7
Metropolitano 1984,7,Argentinos,3,0,Atlanta,13
Metropolitano 1984,13,Atlanta,3,3,Argentinos,7
Torneo Nacional 1984,70,Platense,1,4,Ferro,40
Torneo Nacional 1984,7,Argentinos,3,2,Gimnasia (M),44
Torneo Nacional 1984,44,Gimnasia (M),1,2,Argentinos,7
Torneo Nacional 1984,76,Rosario Central,1,0,Belgrano,16
Torneo Nacional 1984,16,Belgrano,2,1,Rosario Central,76
Torneo Nacional 1984,16,Belgrano,0,4,River Plate,75
Torneo Nacional 1984,75,River Plate,0,2,Belgrano,16
Torneo Nacional 1984,40,Ferro,1,1,Platense,70
Metropolitano 1984,40,Ferro,1,0,Platense,70
Metropolitano 1984,88,Talleres (C),2,1,San Lorenzo,77
Metropolitano 1984,77,San Lorenzo,3,1,Talleres (C),88
Torneo Nacional 1984,75,River Plate,2,0,Huracan,48
