date_name,local_team_id,local_team,local_result,visitor_result,visitor_team,visitor_team_id
Metropolitano 1983,88,Talleres (C),1,0,Velez,94
Metropolitano 1983,94,Velez,4,0,Talleres (C),88
Metropolitano 1983,66,Newells,4,1,Racing (C),72
Metropolitano 1983,72,Racing (C),1,1,Newells,66
Torneo Nacional 1983,72,Racing (C),4,2,Newells,66
Metropolitano 1983,73,Racing Club,2,1,Newells,66
Metropolitano 1983,66,Newells,1,0,Racing Club,73
Torneo Nacional 1983,66,Newells,2,1,Renato Cesarini (R),74
Torneo Nacional 1983,74,Renato Cesarini (R),1,2,Newells,66
Metropolitano 1983,66,Newells,0,0,River Plate,75
Metropolitano 1983,75,River Plate,1,0,Newells,66
Metropolitano 1983,70,Platense,2,1,Newells,66
Torneo Nacional 1983,90,Temperley,2,1,Estudiantes (RC),38
Torneo Nacional 1983,67,Nueva Chicago,0,1,Estudiantes (LP),37
Metropolitano 1983,67,Nueva Chicago,0,0,Estudiantes (LP),37
Metropolitano 1983,75,River Plate,2,1,Rosario Central,76
Torneo Nacional 1983,37,Estudiantes (LP),1,0,Ferro,40
Torneo Nacional 1983,40,Ferro,2,2,Estudiantes (LP),37
Metropolitano 1983,37,Estudiantes (LP),1,1,Ferro,40
Metropolitano 1983,40,Ferro,0,0,Estudiantes (LP),37
Torneo Nacional 1983,17,Boca Juniors,1,1,Argentinos,7
Torneo Nacional 1983,7,Argentinos,3,2,Boca Juniors,17
Metropolitano 1983,76,Rosario Central,2,1,River Plate,75
Metropolitano 1983,7,Argentinos,1,2,Boca Juniors,17
Metropolitano 1983,75,River Plate,3,3,San Lorenzo,77
Metropolitano 1983,77,San Lorenzo,4,0,River Plate,75
Torneo Nacional 1983,77,San Lorenzo,0,0,River Plate,75
Torneo Nacional 1983,75,River Plate,0,0,San Lorenzo,77
Metropolitano 1983,88,Talleres (C),2,0,River Plate,75
Metropolitano 1983,75,River Plate,3,0,Talleres (C),88
Metropolitano 1983,90,Temperley,1,0,River Plate,75
Metropolitano 1983,17,Boca Juniors,2,1,Argentinos,7
Torneo Nacional 1983,7,Argentinos,4,2,Chaco For Ever,22
Torneo Nacional 1983,22,Chaco For Ever,0,1,Argentinos,7
Metropolitano 1983,94,Velez,3,2,Racing Club,73
Metropolitano 1983,77,San Lorenzo,4,0,Talleres (C),88
Metropolitano 1983,88,Talleres (C),0,1,San Lorenzo,77
Metropolitano 1983,77,San Lorenzo,1,0,Racing Club,73
Metropolitano 1983,73,Racing Club,0,1,San Lorenzo,77
Metropolitano 1983,40,Ferro,1,1,Argentinos,7
Metropolitano 1983,7,Argentinos,0,2,Ferro,40
Metropolitano 1983,7,Argentinos,1,1,Estudiantes (LP),37
Metropolitano 1983,37,Estudiantes (LP),2,0,Argentinos,7
Metropolitano 1983,88,Talleres (C),0,0,Racing Club,73
Metropolitano 1983,73,Racing Club,2,0,Talleres (C),88
Metropolitano 1983,90,Temperley,3,0,Racing Club,73
Metropolitano 1983,73,Racing Club,2,1,Temperley,90
Metropolitano 1983,73,Racing Club,2,2,Union,93
Metropolitano 1983,93,Union,1,0,Racing Club,73
Metropolitano 1983,76,Rosario Central,2,1,Velez,94
Metropolitano 1983,94,Velez,2,3,Rosario Central,76
Metropolitano 1983,73,Racing Club,2,1,Velez,94
Metropolitano 1983,75,River Plate,3,1,Temperley,90
Torneo Nacional 1983,73,Racing Club,1,0,Rosario Central,76
Torneo Nacional 1983,75,River Plate,2,0,Andino (LR),5
Torneo Nacional 1983,5,Andino (LR),0,1,Nueva Chicago,67
Metropolitano 1983,76,Rosario Central,0,1,Union,93
Metropolitano 1983,93,Union,3,1,Rosario Central,76
Metropolitano 1983,76,Rosario Central,0,1,San Lorenzo,77
Metropolitano 1983,77,San Lorenzo,3,3,Rosario Central,76
Torneo Nacional 1983,77,San Lorenzo,2,1,Rosario Central,76
Torneo Nacional 1983,76,Rosario Central,0,1,San Lorenzo,77
Torneo Nacional 1983,81,San Martin (T),0,1,Rosario Central,76
Torneo Nacional 1983,3,Altos Hornos Zapla,2,0,Boca Juniors,17
Torneo Nacional 1983,76,Rosario Central,3,1,San Martin (T),81
Metropolitano 1983,88,Talleres (C),4,3,Rosario Central,76
Torneo Nacional 1983,88,Talleres (C),1,1,Rosario Central,76
Torneo Nacional 1983,76,Rosario Central,2,1,Talleres (C),88
Metropolitano 1983,76,Rosario Central,1,2,Temperley,90
Metropolitano 1983,90,Temperley,2,1,Rosario Central,76
Torneo Nacional 1983,90,Temperley,1,1,Rosario Central,76
Torneo Nacional 1983,76,Rosario Central,0,1,Temperley,90
Metropolitano 1983,76,Rosario Central,1,2,Talleres (C),88
Torneo Nacional 1983,17,Boca Juniors,4,0,Altos Hornos Zapla,3
Torneo Nacional 1983,75,River Plate,1,0,Velez,94
Torneo Nacional 1983,94,Velez,0,0,River Plate,75
Torneo Nacional 1983,67,Nueva Chicago,4,0,Andino (LR),5
Torneo Nacional 1983,5,Andino (LR),0,2,Loma Negra,64
Torneo Nacional 1983,64,Loma Negra,3,1,Andino (LR),5
Torneo Nacional 1983,3,Altos Hornos Zapla,0,1,Velez,94
Torneo Nacional 1983,94,Velez,2,0,Altos Hornos Zapla,3
Torneo Nacional 1983,88,Talleres (C),0,0,Altos Hornos Zapla,3
Torneo Nacional 1983,3,Altos Hornos Zapla,1,1,Talleres (C),88
Torneo Nacional 1983,3,Altos Hornos Zapla,0,1,Racing Club,73
Torneo Nacional 1983,73,Racing Club,2,0,Altos Hornos Zapla,3
Metropolitano 1983,93,Union,1,1,River Plate,75
Metropolitano 1983,75,River Plate,0,3,Union,93
Torneo Nacional 1983,66,Newells,1,1,Altos Hornos Zapla,3
Torneo Nacional 1983,3,Altos Hornos Zapla,1,1,Newells,66
Torneo Nacional 1983,3,Altos Hornos Zapla,2,0,Kimberley (MdP),62
Torneo Nacional 1983,62,Kimberley (MdP),3,1,Altos Hornos Zapla,3
Metropolitano 1983,75,River Plate,1,2,Velez,94
Metropolitano 1983,94,Velez,2,0,River Plate,75
Torneo Nacional 1983,5,Andino (LR),2,1,River Plate,75
Metropolitano 1983,37,Estudiantes (LP),1,0,Nueva Chicago,67
Torneo Nacional 1983,76,Rosario Central,2,0,Racing Club,73
Metropolitano 1983,73,Racing Club,3,1,Rosario Central,76
Metropolitano 1983,66,Newells,3,3,Argentinos,7
Torneo Nacional 1983,7,Argentinos,2,2,Loma Negra,64
Torneo Nacional 1983,64,Loma Negra,1,1,Argentinos,7
Torneo Nacional 1983,7,Argentinos,2,0,Juv. Antoniana,60
Torneo Nacional 1983,60,Juv. Antoniana,1,2,Argentinos,7
Metropolitano 1983,7,Argentinos,1,1,Instituto,57
Metropolitano 1983,57,Instituto,3,1,Argentinos,7
Metropolitano 1983,7,Argentinos,4,2,Newells,66
Torneo Nacional 1983,57,Instituto,0,1,Estudiantes (LP),37
Metropolitano 1983,57,Instituto,1,0,Estudiantes (LP),37
Metropolitano 1983,37,Estudiantes (LP),3,1,Instituto,57
Torneo Nacional 1983,7,Argentinos,0,0,Independiente,56
Torneo Nacional 1983,56,Independiente,1,1,Argentinos,7
Torneo Nacional 1983,7,Argentinos,2,1,Independiente,56
Torneo Nacional 1983,56,Independiente,2,0,Argentinos,7
Metropolitano 1983,56,Independiente,1,1,Argentinos,7
Torneo Nacional 1983,37,Estudiantes (LP),3,1,Instituto,57
Torneo Nacional 1983,7,Argentinos,1,2,Newells,66
Torneo Nacional 1983,66,Newells,3,3,Argentinos,7
Metropolitano 1983,7,Argentinos,0,1,Nueva Chicago,67
Metropolitano 1983,88,Talleres (C),1,1,Platense,70
Metropolitano 1983,70,Platense,2,1,Talleres (C),88
Metropolitano 1983,90,Temperley,0,0,Platense,70
Metropolitano 1983,70,Platense,2,1,Temperley,90
Torneo Nacional 1983,70,Platense,0,0,Temperley,90
Torneo Nacional 1983,90,Temperley,2,1,Platense,70
Metropolitano 1983,66,Newells,1,1,Estudiantes (LP),37
Metropolitano 1983,37,Estudiantes (LP),0,2,Newells,66
Metropolitano 1983,70,Platense,1,0,Argentinos,7
Metropolitano 1983,7,Argentinos,1,2,Platense,70
Metropolitano 1983,70,Platense,1,1,Union,93
Metropolitano 1983,93,Union,1,1,Platense,70
Torneo Nacional 1983,70,Platense,1,0,Union,93
Torneo Nacional 1983,93,Union,5,0,Platense,70
Metropolitano 1983,70,Platense,4,0,Velez,94
Metropolitano 1983,94,Velez,2,1,Platense,70
Metropolitano 1983,67,Nueva Chicago,0,3,Argentinos,7
Metropolitano 1983,7,Argentinos,2,2,Independiente,56
Metropolitano 1983,76,Rosario Central,4,3,Racing Club,73
Torneo Nacional 1983,77,San Lorenzo,1,1,Union,93
Metropolitano 1983,72,Racing (C),0,1,Racing Club,73
Metropolitano 1983,72,Racing (C),4,0,Temperley,90
Metropolitano 1983,90,Temperley,3,1,Racing (C),72
Metropolitano 1983,72,Racing (C),0,0,Union,93
Metropolitano 1983,93,Union,1,0,Racing (C),72
Torneo Nacional 1983,72,Racing (C),4,1,Union,93
Torneo Nacional 1983,93,Union,0,0,Racing (C),72
Metropolitano 1983,94,Velez,2,1,Racing (C),72
Torneo Nacional 1983,88,Talleres (C),2,2,Racing (C),72
Metropolitano 1983,72,Racing (C),2,2,Velez,94
Torneo Nacional 1983,74,Renato Cesarini (R),0,1,Racing Club,73
Metropolitano 1983,75,River Plate,1,0,Racing Club,73
Metropolitano 1983,73,Racing Club,2,2,River Plate,75
Metropolitano 1983,37,Estudiantes (LP),3,3,Huracan,48
Metropolitano 1983,48,Huracan,1,2,Estudiantes (LP),37
Metropolitano 1983,48,Huracan,2,1,Argentinos,7
Metropolitano 1983,7,Argentinos,2,1,Huracan,48
Torneo Nacional 1983,73,Racing Club,1,2,Renato Cesarini (R),74
Torneo Nacional 1983,72,Racing (C),0,0,Talleres (C),88
Metropolitano 1983,88,Talleres (C),0,0,Racing (C),72
Metropolitano 1983,72,Racing (C),0,0,Talleres (C),88
Torneo Nacional 1983,72,Racing (C),3,2,Renato Cesarini (R),74
Torneo Nacional 1983,74,Renato Cesarini (R),0,1,Racing (C),72
Torneo Nacional 1983,93,Union,0,0,San Lorenzo,77
Metropolitano 1983,77,San Lorenzo,3,1,Union,93
Metropolitano 1983,93,Union,2,0,San Lorenzo,77
Metropolitano 1983,72,Racing (C),2,3,River Plate,75
Metropolitano 1983,75,River Plate,1,2,Racing (C),72
Torneo Nacional 1983,37,Estudiantes (LP),2,0,Independiente,56
Torneo Nacional 1983,56,Independiente,2,1,Estudiantes (LP),37
Metropolitano 1983,37,Estudiantes (LP),0,0,Independiente,56
Metropolitano 1983,56,Independiente,2,1,Estudiantes (LP),37
Metropolitano 1983,72,Racing (C),2,0,Rosario Central,76
Metropolitano 1983,76,Rosario Central,2,1,Racing (C),72
Metropolitano 1983,77,San Lorenzo,4,3,Temperley,90
Metropolitano 1983,77,San Lorenzo,3,0,Racing (C),72
Metropolitano 1983,72,Racing (C),2,3,San Lorenzo,77
Metropolitano 1983,90,Temperley,0,0,San Lorenzo,77
Metropolitano 1983,73,Racing Club,3,4,Racing (C),72
Metropolitano 1983,93,Union,0,0,Instituto,57
Metropolitano 1983,37,Estudiantes (LP),0,0,Racing (C),72
Metropolitano 1983,56,Independiente,3,2,Union,93
Torneo Nacional 1983,90,Temperley,3,1,Velez,94
Torneo Nacional 1983,94,Velez,0,0,Temperley,90
Metropolitano 1983,40,Ferro,1,1,Huracan,48
Metropolitano 1983,48,Huracan,1,1,Ferro,40
Metropolitano 1983,57,Instituto,3,2,Talleres (C),88
Metropolitano 1983,88,Talleres (C),1,0,Instituto,57
Metropolitano 1983,40,Ferro,1,1,Newells,66
Metropolitano 1983,40,Ferro,1,1,Instituto,57
Metropolitano 1983,57,Instituto,3,0,River Plate,75
Metropolitano 1983,75,River Plate,1,0,Instituto,57
Metropolitano 1983,57,Instituto,0,1,Ferro,40
Metropolitano 1983,94,Velez,0,0,Temperley,90
Metropolitano 1983,90,Temperley,1,1,Velez,94
Metropolitano 1983,57,Instituto,1,1,Temperley,90
Metropolitano 1983,90,Temperley,2,2,Instituto,57
Metropolitano 1983,57,Instituto,0,0,Racing Club,73
Metropolitano 1983,57,Instituto,1,1,Platense,70
Metropolitano 1983,57,Instituto,1,4,San Lorenzo,77
Metropolitano 1983,77,San Lorenzo,2,0,Instituto,57
Torneo Nacional 1983,56,Independiente,1,2,Temperley,90
Metropolitano 1983,66,Newells,3,0,Ferro,40
Torneo Nacional 1983,70,Platense,1,0,Instituto,57
Torneo Nacional 1983,57,Instituto,3,2,Platense,70
Metropolitano 1983,93,Union,1,1,Independiente,56
Torneo Nacional 1983,56,Independiente,1,0,Union,93
Torneo Nacional 1983,93,Union,1,0,Independiente,56
Metropolitano 1983,90,Temperley,1,0,Union,93
Metropolitano 1983,57,Instituto,1,0,Nueva Chicago,67
Metropolitano 1983,57,Instituto,2,0,Newells,66
Metropolitano 1983,66,Newells,2,0,Instituto,57
Metropolitano 1983,56,Independiente,1,0,Ferro,40
Metropolitano 1983,40,Ferro,0,1,Independiente,56
Metropolitano 1983,72,Racing (C),1,2,Instituto,57
Metropolitano 1983,57,Instituto,2,1,Racing (C),72
Metropolitano 1983,73,Racing Club,1,0,Instituto,57
Metropolitano 1983,67,Nueva Chicago,2,0,Instituto,57
Metropolitano 1983,93,Union,3,0,Temperley,90
Metropolitano 1983,70,Platense,1,4,Instituto,57
Metropolitano 1983,76,Rosario Central,1,1,Instituto,57
Metropolitano 1983,94,Velez,3,2,Union,93
Metropolitano 1983,57,Instituto,2,2,Rosario Central,76
Metropolitano 1983,93,Union,1,4,Velez,94
Metropolitano 1983,94,Velez,3,1,Independiente,56
Metropolitano 1983,17,Boca Juniors,1,0,Velez,94
Metropolitano 1983,57,Instituto,1,0,Union,93
Metropolitano 1983,94,Velez,1,1,Boca Juniors,17
Metropolitano 1983,56,Independiente,1,1,Velez,94
Metropolitano 1984,56,Independiente,2,1,Instituto,57
Torneo Nacional 1984,56,Independiente,3,0,Chacarita,21
Metropolitano 1984,17,Boca Juniors,0,2,Newells,66
Torneo Nacional 1984,21,Chacarita,0,1,Independiente,56
Metropolitano 1984,57,Instituto,2,0,Independiente,56
Metropolitano 1984,72,Racing (C),1,0,Instituto,57
Metropolitano 1984,21,Chacarita,1,1,Independiente,56
Metropolitano 1984,56,Independiente,1,1,Chacarita,21
Metropolitano 1984,70,Platense,1,1,Rosario Central,76
Metropolitano 1984,76,Rosario Central,3,0,Platense,70
Metropolitano 1984,57,Instituto,2,2,Racing (C),72
Metropolitano 1984,93,Union,0,1,Newells,66
Torneo Nacional 1984,62,Kimberley (MdP),0,0,Independiente,56
Torneo Nacional 1984,56,Independiente,5,1,Kimberley (MdP),62
Metropolitano 1984,56,Independiente,3,3,Talleres (C),88
Torneo Nacional 1984,90,Temperley,1,1,Gimnasia (M),44
Torneo Nacional 1984,44,Gimnasia (M),2,2,Temperley,90
Metropolitano 1984,88,Talleres (C),2,3,Independiente,56
Metropolitano 1984,94,Velez,2,1,Ferro,40
Metropolitano 1984,40,Ferro,2,0,Velez,94
Metropolitano 1984,70,Platense,0,1,River Plate,75
Metropolitano 1984,75,River Plate,2,0,Platense,70
Metropolitano 1984,17,Boca Juniors,1,2,Temperley,90
Metropolitano 1984,90,Temperley,0,1,Boca Juniors,17
Torneo Nacional 1984,7,Argentinos,2,1,Talleres (C),88
Metropolitano 1984,93,Union,5,1,River Plate,75
Metropolitano 1984,75,River Plate,2,0,Union,93
Metropolitano 1984,75,River Plate,2,1,Argentinos,7
Metropolitano 1984,7,Argentinos,1,1,River Plate,75
Metropolitano 1984,94,Velez,2,0,San Lorenzo,77
Metropolitano 1984,77,San Lorenzo,0,0,Velez,94
Metropolitano 1984,37,Estudiantes (LP),4,1,Platense,70
Metropolitano 1984,17,Boca Juniors,1,2,Atlanta,13
Metropolitano 1984,17,Boca Juniors,1,1,River Plate,75
Metropolitano 1984,70,Platense,0,0,Temperley,90
Metropolitano 1984,90,Temperley,0,1,Platense,70
Metropolitano 1984,75,River Plate,4,1,Boca Juniors,17
Metropolitano 1984,70,Platense,1,1,Talleres (C),88
Metropolitano 1984,88,Talleres (C),2,0,Platense,70
Torneo Nacional 1984,3,Altos Hornos Zapla,1,2,Platense,70
Metropolitano 1984,76,Rosario Central,2,2,San Lorenzo,77
Torneo Nacional 1984,70,Platense,1,1,Altos Hornos Zapla,3
Metropolitano 1984,40,Ferro,3,2,Chacarita,21
Metropolitano 1984,72,Racing (C),2,1,Boca Juniors,17
Metropolitano 1984,88,Talleres (C),3,2,Newells,66
Metropolitano 1984,17,Boca Juniors,0,0,Racing (C),72
Metropolitano 1984,21,Chacarita,1,1,Ferro,40
Torneo Nacional 1984,66,Newells,2,0,Talleres (C),88
Metropolitano 1984,72,Racing (C),1,1,Argentinos,7
Metropolitano 1984,7,Argentinos,2,0,Racing (C),72
Torneo Nacional 1984,88,Talleres (C),4,1,Newells,66
Torneo Nacional 1984,72,Racing (C),1,1,Argentinos,7
Torneo Nacional 1984,7,Argentinos,0,0,Racing (C),72
Torneo Nacional 1984,37,Estudiantes (LP),1,1,Olimpo,68
Torneo Nacional 1984,68,Olimpo,0,4,Estudiantes (LP),37
Metropolitano 1984,13,Atlanta,0,5,Boca Juniors,17
Metropolitano 1984,77,San Lorenzo,4,3,Platense,70
Metropolitano 1984,70,Platense,2,1,San Lorenzo,77
Torneo Nacional 1984,17,Boca Juniors,1,1,Newells,66
Metropolitano 1984,56,Independiente,3,3,Union,93
Metropolitano 1984,70,Platense,0,0,Estudiantes (LP),37
Torneo Nacional 1984,66,Newells,1,0,Boca Juniors,17
Metropolitano 1984,66,Newells,0,0,Boca Juniors,17
Torneo Nacional 1984,88,Talleres (C),4,2,Argentinos,7
Torneo Nacional 1984,44,Gimnasia (M),1,1,San Lorenzo,77
Torneo Nacional 1984,77,San Lorenzo,4,3,Gimnasia (M),44
Metropolitano 1984,70,Platense,0,1,Independiente,56
Metropolitano 1984,56,Independiente,2,1,Platense,70
Metropolitano 1984,48,Huracan,0,1,Ferro,40
Torneo Nacional 1984,75,River Plate,2,0,Instituto,57
Torneo Nacional 1984,57,Instituto,0,0,River Plate,75
Metropolitano 1984,90,Temperley,3,0,Newells,66
Metropolitano 1984,93,Union,1,0,Talleres (C),88
Metropolitano 1984,88,Talleres (C),4,2,Union,93
Metropolitano 1984,66,Newells,0,1,Temperley,90
Metropolitano 1984,77,San Lorenzo,2,2,Argentinos,7
Metropolitano 1984,88,Talleres (C),2,0,Ferro,40
Metropolitano 1984,40,Ferro,1,1,Talleres (C),88
Metropolitano 1984,7,Argentinos,2,4,San Lorenzo,77
Torneo Nacional 1984,94,Velez,1,1,Belgrano,16
Torneo Nacional 1984,16,Belgrano,1,0,Velez,94
Metropolitano 1984,77,San Lorenzo,2,1,Independiente,56
Metropolitano 1984,56,Independiente,2,2,San Lorenzo,77
Metropolitano 1984,76,Rosario Central,2,3,Instituto,57
Metropolitano 1984,57,Instituto,1,0,Rosario Central,76
Metropolitano 1984,37,Estudiantes (LP),2,0,River Plate,75
Metropolitano 1984,75,River Plate,2,1,Estudiantes (LP),37
Metropolitano 1984,90,Temperley,0,1,Velez,94
Metropolitano 1984,21,Chacarita,0,0,Boca Juniors,17
